Nro;ID_PFI2023;ORDEN DE PRIORIZACIÓN DE LA JURISDICCIÓN;ID_JURISDICCION;REGION;JURISDICCION;TITULO;INSTITUCION EJECUTORA;INSTITUCION BENEFICIARIA;CARACTER DE LA INSTITUCION BENEFICIARIA;MONTO MINCYT SOLICITADO;MONTO CONTRAPARTE ;MONTO TOTAL PROYECTO;RELACION MINCYT;MONTO RUBRO RECURSOS HUMANOS;MONTO BIENES DE CAPITAL;MONTO FORMULACION PY UVT;PERFIL INSTITUCIONAL del BENEFICIARIO;OSE PRINCIPAL
171;SA-8-PFI-2023;8;SA;NOA;SALTA;Innovación tecnológica para una experiencia accesible e inclusiva en el Museo Regional Andino. San Antonio de los Cobres (Salta);Universidad Católica de Salta;Municipio de San Antonio de los Cobres;PUBLICO;10006900;2160000;12166900;0.822469158125735;2160000;4703300;640000;Municipio;10-Cultura, recreación, religión y medios de comunicación
172;SA-9-PFI-2023;9;SA;NOA;SALTA;Caracterización de levaduras asociada al terroir vitivinícola de Cachi, Salta;Universidad Nacional del Comahue;MIRALUNA SRL;PRIVADO;10050000;4350000;14400000;0.697916666666667;0;4200000;0;Emp Priv;08-Agricultura
173;SJ-1-PFI-2023;1;SJ;CUYO;SAN JUAN;Diseño, aprobación y construcción de un prototipo de vivienda rural en Quincha mejorada bajo estAndares de eficiencia energEtica (calingasta);Universidad nacional de san juan-Facultad de arquitectura urbanismo y diseño;Universidad Nacional de San Juan;PUBLICO;15000000;3750000;18750000;0.8;400000;3729600;375000;Univ Pub;04-Transporte, telecomunicación y otras infraestructuras
174;SJ-2-PFI-2023;2;SJ;CUYO;SAN JUAN;Hospìtal virtual del colegio medico san juan;N/A;Colegio mEdico San Juan;PRIVADO;10066600;14368000;24434600;0.411981370679283;5460000;3272600;0;ESFL;07-Salud
175;SJ-3-PFI-2023;3;SJ;CUYO;SAN JUAN;Laboratorios remotos de la UNSJ, con una mirada inclusiva al conocimiento;Universidad nacional de san juan-Facultad de ingeniería;Universidad Nacional de San Juan;PUBLICO;20000000;5007600;25007600;0.799756873910331;5007600;8000000;0;Univ Pub;09-Educación
176;SJ-4-PFI-2023;4;SJ;CUYO;SAN JUAN;Neurociencias aplicadas y tecnologías innovadoras para el tratamiento de enfermedades neurológicas y psiquiAtricas;Hospital Dr.Guillermo Rawson;Fundación investigaciones mEdicas FUDIM;PUBLICO;22000000;6740239;28740239;0.765477280825674;4538971;11000000;0;ESFL;07-Salud
177;SJ-5-PFI-2023;5;SJ;CUYO;SAN JUAN;Cielo para las infancias;Facultad de ciencias exactas, físicas y naturales;Ministerio de educación del gobierno de San Juan;PUBLICO;14996800;3360000;18356800;0.816961561928005;3360000;8744800;0;Org Pub;03-Exploración y explotación del espacio
178;SJ-6-PFI-2023;6;SJ;CUYO;SAN JUAN;Plataforma de anAlisis de movimientos para trastornos posturales y neuromotores;Instituto de bioingeniería;Universidad Nacional de San Juan - Instituto de bioingeniería;PUBLICO;17060000;4338325;21398325;0.797258663937481;4338325;17060000;0;Univ Pub;07-Salud
179;SJ-7-PFI-2023;7;SJ;CUYO;SAN JUAN;Adaptación de la olivicultura al cambio climAtico: selección varietal y desarrollo de sistemas de manejo innovativos y sostenibles;Instituto Nacional de Tecnología Agropecuaria EEA San Juan;Instituto Nacional de Tecnología Agropecuaria (INTA- EEA San Juan);PUBLICO;15000000;12438153;27438153;0.546684027893569;12438153;7500000;340000;INTA;08-Agricultura
180;SJ-8-PFI-2023;8;SJ;CUYO;SAN JUAN;Fortalecimiento de módulo educativo de producción de leche bovina a pequeña escala en la escuela agrotEcnica profesora ana perez ciani;Agencia de extensión rural caucete INTA San Juan;GOBIERNO DE LA PROVINCIA DE SAN JUAN ADMINISTRACION CENTRAL C - Escuela agrotEcnica profesora Ana Perez Ciani;PUBLICO;15000000;3756000;18756000;0.799744081893794;3756000;2850000;0;Org Pub;09-Educación
181;SJ-9-PFI-2023;9;SJ;CUYO;SAN JUAN;Acompañamientos a regantes para la modernización del sistema de distribución y de la gestión colectiva del agua de riego en los valles cordilleranos de Calingasta e Iglesia-San Juan;Instituto Nacional de Tecnología Agropecuaria estación experimental San Juan;Instituto Nacional de Tecnología Agropecuaria- INTA-;PUBLICO;20000000;8580000;28580000;0.699790062981106;8580000;6840000;300000;INTA;04-Transporte, telecomunicación y otras infraestructuras
182;SJ-10-PFI-2023;10;SJ;CUYO;SAN JUAN;Aguardiente de manzana (calvados) mejoramiento del proceso de elaboración por destilación discontinua en el departamento de Calingasta, mediante herramientas de ingeniería de procesos. ;Universidad nacional de san juan. Facultad de ingeniería;Universidad Nacional de San Juan;PUBLICO;49986000;14525444;64511444;0.774839267277911;14525444;22771000;640000;Univ Pub;06-Producción y tecnología industrial
183;SL-1-PFI-2023;1;SL;CUYO;SAN LUIS;"Desarrollo de un dispositivo para la identificación temprana de
enfermedades de transmisión sexual (ETS) prevalentes";Universidad Nacional de San Luis (UNSL) - Universidad Católica de Cuyo (UCCuyoSL);UNIVERSIDAD NACIONAL DE SAN LUIS;PUBLICO;40000000;8000203;48000203;0.833329809042683;8000203;28000000;640000;Univ Pub;07-Salud
184;SL-2-PFI-2023;2;SL;CUYO;SAN LUIS;"JUEGA, APRENDE Y
CRECE: Plataforma
tecnológica educativa
aplicada en deporte y
nutrición.";UNIVERSIDAD DE LA PUNTA;UNIVERSIDAD DE LA PUNTA;PUBLICO;45000000;12870000;57870000;0.777604976671851;12870000;0;0;Univ Pub;07-Salud
185;SL-3-PFI-2023;3;SL;CUYO;SAN LUIS;"Fortalecimiento de capacidades de I+D+i para el desarrollo de tecnologías de oxidación avanzada
aplicables al tratamiento de aguas residuales industriales.";"Instituto de Investigaciones en Tecnología Química
(INTEQUI), UNSL-CONICET";UNIVERSIDAD NACIONAL DE SAN LUIS;PUBLICO;20000000;9615090;29615090;0.675331393556461;9615090;10000000;0;Univ Pub;02-Medio Ambiente
186;SL-4-PFI-2023;4;SL;CUYO;SAN LUIS;TECNOLOGÍAS APLICADAS A LA PRODUCCIÓN DE e-COMBUSTIBLES;Universidad Nacional de Villa Mercedes;Universidad Nacional de Villa Mercedes;PUBLICO;35000000;15000000;50000000;0.7;15000000;13450000;0;Univ Pub;02-Medio Ambiente
187;SL-5-PFI-2023;5;SL;CUYO;SAN LUIS;"Desarrollo de bebidas funcionales para el crecimiento
sostenible de una cooperativa del norte de la provincia de San Luis.";INCOMPLETO;UNIVERSIDAD NACIONAL DE SAN LUIS;PUBLICO;10000000;22815348;32815348;0.304735454885318;22815348;7420000;0;Univ Pub;06-Producción y tecnología industrial
188;SL-6-PFI-2023;6;SL;CUYO;SAN LUIS;"“iLAB +CULTURA. Modelo para el fortalecimiento de las capacidades de gestión,
comunicación, redes e innovación abierta de las organizaciones de base cultural de San
Luis”";Universidad Nacional de San Luis;UNIVERSIDAD NACIONAL DE SAN LUIS;PUBLICO;15000000;6719684;21719684;0.690617782468658;6719684;6167260;280000;Univ Pub;10-Cultura, recreación, religión y medios de comunicación
189;SL-7-PFI-2023;7;SL;CUYO;SAN LUIS;"ESTUDIO GEOLÓGICO-ESTRUCTURAL PARA CARACTERIZAR EL
POTENCIAL GEOTERMICO EN LA PROVINCIA DE SAN LUIS";Universidad Nacional de San Luis;UNIVERSIDAD NACIONAL DE SAN LUIS;PUBLICO;15000000;9923580;24923580;0.601839703605983;9923580;8500000;300000;Univ Pub;01-Exploración y explotación de la tierra
190;SL-8-PFI-2023;8;SL;CUYO;SAN LUIS;"Laboratorio ReDIT VM (Red de desarrollo e innovación del territorio
de Villa Mercedes y zona de influencia).";INCOMPLETO;UNIVERSIDAD NACIONAL DE SAN LUIS;PUBLICO;20000000;10298400;30298400;0.660100863411929;10298400;5000000;0;Univ Pub;08-Agricultura
191;SC-1-PFI-2023;1;SC;PATAGONIA;SANTA CRUZ;Matriz de Generación Distribuida en Escuelas TEcnicas de la Provinciales de Santa Cruz mediante la incorporación de Tecnología que permita la producción de Energía limpia y la incorporación del excedente a la red elEctrica local.;CONSEJO DE EDUCACIÓN DE LA PROVINCIA DE SANTA CRUZ- ESCUELA TECNICA Nº2- PICO TRUCADO;FUNDACION EMPRESARIA DE LA PATAGONIA (FEPA);PRIVADO;56958190;24530000;81488190;0.698974783953356;15930000;20302690;640000;ESFL;09-Educación
192;SC-2-PFI-2023;2;SC;PATAGONIA;SANTA CRUZ;Sistema de adquisición, monitorización y explotación de datos para cultivos hidropónicos indoor.;UNIVERSIDAD DE LA PATAGONIA AUSTRAL ;UNIVERSIDAD NACIONAL DE LA PATAGONIA AUSTRAL;PUBLICO;32000000;8000000;40000000;0.8;1200000;12680000;0;Univ Pub;08-Agricultura
193;SC-3-PFI-2023;3;SC;PATAGONIA;SANTA CRUZ;Desarrollo del Potencial Marítimo para la Soberanía EnergEtica de Santa Cruz;UTN – FRSC / FUNDACIÓN EMPRESARIA DE LA PATAGONIA;BRAINSTORMERS S.A.S.;PRIVADO;45666810;20240000;65906810;0.692899717039863;11640000;15110000;640000;Emp Priv;09-Educación
194;SC-4-PFI-2023;4;SC;PATAGONIA;SANTA CRUZ;Aportes para la transición hacia una ganadería ovina extensiva climAticamente inteligente en Santa Cruz;INTA EEA Santa Cruz;CONSEJO AGRARIO PROVINCIAL;PUBLICO;16275000;7870000;24145000;0.674052598881756;6800000;7830000;0;Org Pub;08-Agricultura
195;SC-5-PFI-2023;5;SC;PATAGONIA;SANTA CRUZ;Desarrollo de una herramienta para la gestión, manejo y aprovechamiento integral del guanaco en Santa Cruz;N/A;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;PUBLICO;25840000;14352000;40192000;0.642914012738854;9852000;12340000;0;INTA;11-Estructuras, procesos y sistemas políticos y sociales
196;SC-6-PFI-2023;6;SC;PATAGONIA;SANTA CRUZ;Producción de alimento de trucha arco iris (Oncorhynchus mykiss) enriquecido con pigmentos obtenidos del reciclado de bioresiduos de langostino;UNIVERSIDAD DE LA PATAGONIA AUSTRAL ;MUNICIPALIDAD DE COMANDANTE LUIS PIEDRABUENA;PUBLICO;22800000;6166000;28966000;0.787129738313885;4416000;5970000;0;Municipio;08-Agricultura
197;SF-1-PFI-2023;1;SF;CENTRO;SANTA FE;"Generación de la Unidad de Ciencias Genómicas y Transcriptómicas del Instituto de
Biología Molecular y Celular de Rosario (UCG-IBR)";"Fundación del Instituto de Biología Molecular y Celular de Rosario,
(Fundación IBR)";CENTRO CIENTIFICO TECNOLOGICO CONICET-ROSARIO (CCT ROSARIO);PUBLICO;100000000;37577049;137577049;0.726865423607102;35077049;49942000;0;CONICET;12-Producción general de conocimiento
198;SF-2-PFI-2023;2;SF;CENTRO;SANTA FE;PLATAFORMA DE CIENCIA Y TECNOLOGIA PARA EL ACCESO E INNOVACION EN SALUD PUBLICA;Unidad de Investigación Traslaccional del Hospital Provincial del Centenario (UNITRO);HOSPITAL PROVINCIAL DEL CENTENARIO;PUBLICO;50000000;12500000;62500000;0.8;12500000;25000000;0;Org Pub;07-Salud
199;SF-3-PFI-2023;3;SF;CENTRO;SANTA FE;"“Fortalecimiento de INCUVA, la Incubadora de empresas de la EEA Rafaela del INTA, como un
como Centro tecnológico especializado en BioAgroindustria, con fuerte orientación a bioprocesos
y bioproductos mediante la aplicación de tecnología de fermentación y secado spray”";INTA EEA Rafaela;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA- INTA-;PUBLICO;50000000;28860000;78860000;0.63403499873193;9060000;25000000;0;Univ Pub;06-Producción y tecnología industrial
200;SE-1-PFI-2023;1;SE;NOA;SANTIAGO DEL ESTERO;Desarrollo de Prototipo de un Sistema de Gestión y de Control AutomAtico de los Caudales para el Sistema de Riego Del Rio Dulce, Santiago del Estero;UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO;UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO;PUBLICO;61990000;15840000;77830000;0.796479506616986;15840000;27750000;0;Univ Pub;04-Transporte, telecomunicación y otras infraestructuras
201;SE-2-PFI-2023;2;SE;NOA;SANTIAGO DEL ESTERO;Optimización de sistemas existentes de tratamiento de diversos efluentes derivados de la actividad productiva pecuaria en Colonia Jaime para la promoción de un polo de desarrollo sostenible de aprovechamiento de biogAs y sus sub productos para la provincia de Santiago del Estero. ;INTI;ASOCIACION CIVIL COLONIA JAIME;PRIVADO;49820000;21360000;71180000;0.699915706659174;0;16770000;0;ESFL;02-Medio Ambiente
202;SE-3-PFI-2023;3;SE;NOA;SANTIAGO DEL ESTERO;"Innovación Regenerativa: Diversificación y Cierre en el ciclo de producción del proyecto Alimentación inteligente, MUJERES DE LA CAÑADA: pulpas y bioinsumos
";NO CONSIGNAN;COMISION MUNICIPAL LA CAÑADA;PUBLICO;24718022;6262000;30980022;0.797869736825881;4062000;13918022;500000;Municipio;08-Agricultura
203;SE-4-PFI-2023;4;SE;NOA;SANTIAGO DEL ESTERO;Desarrollo y Ambientación del Espacio Físico, Para la Puesta en Marcha del Museo de Astronomía e Ingeniería de Santiago del Estero (MAISE);UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO;UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO;PUBLICO;26906475;13291226;40197701;0.669353578205878;1352000;2784000;0;Univ Pub;03-Exploración y explotación del espacio
204;SE-5-PFI-2023;5;SE;NOA;SANTIAGO DEL ESTERO;Desarrollo e implementación de tecnologías de producción de hongos comestibles (pleurotus spp) en Santiago del Estero;UNIVERSIDAD CATOLICA DE SANTIAGO DEL ESTERO Y UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO;UNIVERSIDAD CATOLICA DE SANTIAGO DEL ESTERO;PRIVADO;10000000;4289000;14289000;0.699839037021485;0;3100000;0;Univ Priv;03-Exploración y explotación del espacio
205;SE-6-PFI-2023;6;SE;NOA;SANTIAGO DEL ESTERO;Desarrollo de tecnologías de accesibilidad apropiadas para personas amputadas con potencial discapacidad motriz de bajos recursos en la provincia de Santiago del Estero;INTI;UNIVERSIDAD CATOLICA DE SANTIAGO DEL ESTERO;PRIVADO;16565000;7170000;23735000;0.697914472298294;0;4245000;0;Univ Priv;07-Salud
206;SE-7-PFI-2023;7;SE;NOA;SANTIAGO DEL ESTERO;Implementación de un sistema de control integrado de plagas y microorganismos, basado en aceites esenciales, en el almacenamiento en silo de vainas de algarrobo (Prosopis alba) en la Cooperativa Apícola Agrícola Agro Naciente;UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO;UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO;PUBLICO;10000000;3843000;13843000;0.722386765874449;3843000;5000000;0;Univ Pub;08-Agricultura
207;TF-1-PFI-2023;1;TF;PATAGONIA;TIERRA DEL FUEGO;Transferencia de conocimientos y fortalecimiento de las capacidades tecnológicas para la valorización del plAstico no reutilizado a partir de estudios de calidad de procesos pirolíticos y de I+D, que permitan obtener subproductos de interEs para la industria petroquímica y del agro;Centro de Investigaciones y Transferencia Tierra del Fuego AIAS;Secretaría de Hidrocarburos de Tierra del Fuego AIAS;PUBLICO;97300000;29806875;127106875;0.765497538980484;29806875;57000000;640000;Org Pub;02-Medio Ambiente
208;TF-2-PFI-2023;2;TF;PATAGONIA;TIERRA DEL FUEGO;Biobanco TDF AeIAS - Patrimonio de biodiversidad fueguina;Universidad Nacional de Tierra del Fuego;Secretaría de ambiente, Ministerio de Producción y Ambiente de Tierra del Fuego, AeIAS.;PUBLICO;22246999;11274000;33520999;0.663673508059828;11274000;10340000;426990;Org Pub;02-Medio Ambiente
209;TF-3-PFI-2023;3;TF;PATAGONIA;TIERRA DEL FUEGO;Desarrollo de un sistema de monitoreo automatizado integrado para la detección temprana de hidrocarburos, ruido submarino y acidificación para la gestión ambiental;Centro Austral de Investigaciones Científicas (CADIC-CONICET) -Instituto Argentino de Oceanografía - IADO (CONICET-UNS);Secretaría de Ambiente de Tierra del Fuego;PUBLICO;30208625;21698023;51906648;0.581979884349303;21698023;12927656;640000;Org Pub;02-Medio Ambiente
210;TF-4-PFI-2023;4;TF;PATAGONIA;TIERRA DEL FUEGO;"Mitigación del riesgo sísmico en Tierra del Fuego. Innovación y
potenciación de la red sismológica provincial.";"Estación Astronómica RIO Grande, Facultad de
Ciencias Astronómicas y Geofísicas, UNLP - Instituto de Desarrollo Económico e Innovación
Universidad Nacional de Tierra del Fuego, AIAS";UNIVERSIDAD NACIONAL DE LA PLATA ;PUBLICO;20000000;5000000;25000000;0.8;5000000;14000000;500000;Univ Pub;04-Transporte, telecomunicación y otras infraestructuras
211;TF-5-PFI-2023;5;TF;PATAGONIA;TIERRA DEL FUEGO;"Gestión del riesgo geológico, sísmico e hídrico: creación de capacidades locales y
consolidación de la gobernanza del territorio mediante geodesia y fotogrametría";Facultad de Ciencias Astronómicas y Geofísicas de la UNLP;AGENCIA DE RECAUDACION FUEGUINA ;PUBLICO;20000000;5000900;25000900;0.799971201036763;5000900;15572000;500018;Org Pub;01-Exploración y explotación de la tierra
212;TF-6-PFI-2023;6;TF;PATAGONIA;TIERRA DEL FUEGO;"Mapa de situación de la Contaminación ambiental por parAsitos intestinales de animales
domEsticos en ambientes urbanos y periurbanos en Tierra del Fuego. Argentina";Universidad Nacional de Tierra del Fuego;Dirección de Epidemiología, Ministerio de Salud ,Provincia de Tierra del Fuego A.I.A.S.;PUBLICO;10230300;2465739;12696039;0.80578674970989;2465739;5000000;204120;Org Pub;02-Medio Ambiente
213;TU-1-PFI-2023;1;TU;NOA;TUCUMAN;Desarrollo de un módulo de biocombustibles sólidos a partir de residuos foresto industriales y recursos biomAsicos estratEgicos de la provincia de TucumAn en aserradero de la empresa RIO de Luna SA;INTI; RIO de Luna SA;PRIVADO;19100600;8552000;27652600;0.690734325162914;0;9250000;500000;Emp Priv;05-Energía
214;TU-2-PFI-2023;2;TU;NOA;TUCUMAN;Urbanización sostenible: Un enfoque integral para mejorar la calidad ambiental en el Gran San Miguel de TucumAn.;UNT;Universidad Nacional de Tucumàn ;PUBLICO;11450000;7045000;18495000;0.619086239524196;5545000;5700000;0;Univ Pub;04-Transporte, telecomunicación y otras infraestructuras
215;TU-3-PFI-2023;3;TU;NOA;TUCUMAN;Adaptación de tecnologías remotas para evaluación del bosque nativo del chaco semi Arido, con aplicación a planificación predial en proyectos de Manejo de Bosque con Ganadería Integrada;INTA - Estación Experimental Agropecuaria FamaillA;Instituto Nacional de Tecnologia Agropecuaria (INTA. EEA FamaillA);PUBLICO;15500000;7230000;22730000;0.681918169819622;6030000;7700000;0;INTA;01-Exploración y explotación de la tierra
216;TU-4-PFI-2023;4;TU;NOA;TUCUMAN;Generación de rEplicas y modelos 3d de interEs forense, mEdico, arqueológico, histórico y artístico;UNT;Universidad Nacional de Tucumàn ;PUBLICO;11891532;0;11891532;1;0;0;0;Univ Pub;12-Producción general de conocimiento
217;TU-5-PFI-2023;5;TU;NOA;TUCUMAN;Implementación y transferencia de tecnología para la Gestión agrometeorológica y freAtica en la Cuenca Productiva Balderrama: Acceso Web a Datos Precisos y Oportunos para mejora de la productividad agrícola.;Facultad de Ciencias Exactas y Tecnología - UNT;UNIVERSIDAD NACIONAL DE TUCUMAN -Facultad de Ciencias Exactas y Tecnología ;PUBLICO;21146848;26638597;47785445;0.442537429545754;18313951;8957118;0;Univ Pub;08-Agricultura
218;TU-6-PFI-2023;6;TU;NOA;TUCUMAN; Diversificación del uso del biogAs y biofertilizantes en una institución de desarrollo social;Estación Experimental Agroindustrial Obispo Colombres;ESTACION EXPERIMENTAL AGRO INDUSTRIAL OBISPO COLOMBRES;PUBLICO;10130000;4322000;14452000;0.700941046221976;3822000;5500000;400000;Otros Org CyT;08-Agricultura
219;TU-7-PFI-2023;7;TU;NOA;TUCUMAN;La ciencia ciudadana (con la gente) como metodo de monitoreo de fauna, generadora de conciencia pública y cooperadora en el bienestar comunal/social.;Unidad Ejecutora Lillo - UEL; CONICET -Unidad Ejecutora Lillo-UEL;PUBLICO;12000000;16095000;28095000;0.427122263747998;16095000;4200000;0;CONICET;02-Medio Ambiente
220;TU-8-PFI-2023;8;TU;NOA;TUCUMAN;La salud urbana en el contexto de las enfermedades transmitidas por vectores: estrategia de gestión integrada para la prevención del dengue;Fundación Miguel Lillo;Fundación Miguel Lillo;PUBLICO;10000000;9370000;19370000;0.516262261228704;9370800;4900000;0;ESFL;02-Medio Ambiente
221;TU-9-PFI-2023;9;TU;NOA;TUCUMAN;Agregado de valor destinado a la alimentación de alta calidad nutricional mediante producción agroecológica de granos de quínoa para consumo directo y transformación en harina, pan y leche;INTA;Instituto Nacional de Tecnologia Agropecuaria INTA;PUBLICO;15000000;8732500;23732500;0.632044664489624;1400000;9000000;0;INTA;06-Producción y tecnología industrial
222;TU-10-PFI-2023;10;TU;NOA;TUCUMAN;Desarrollo de una herramienta metodológica para el establecimiento de un sistema de ejecución, monitoreo y manejo sustentable de sitios arqueológicos de superficie de la provincia de TucumAn.;Facultad de Ciencias Naturales e Instituto Miguel Lillo – UNT Centro de Investigacion en Ecología Histórica;Universidad Nacional de Tucumàn ;PUBLICO;10737000;6809793;17546793;0.611906688589761;6809793;4900000;0;Univ Pub;10-Cultura, recreación, religión y medios de comunicación
223;TU-11-PFI-2023;11;TU;NOA;TUCUMAN;Construcción de sistemas de RIOs artificiales para la previsibilidad de la calidad del agua en el contexto del cambio climAtico.;Facultad de Ciencias Naturales e IML, UNT;Universidad Nacional de Tucumàn Facultad de Ciencias Naturales e IML;PUBLICO;12329200;9073589;21402789;0.576055765442532;9073589;1700000;0;Univ Pub;02-Medio Ambiente
224;TU-12-PFI-2023;12;TU;NOA;TUCUMAN;Optimización de la productividad de lana y carne de oveja en TucumAn a travEs de la creación de un núcleo genEtico.;Facultad de Agronomía Zootecnia y Veterinaria (UNT);Universidad Nacional de Tucumàn ;PUBLICO;15131500;12744000;27875500;0.542824343957956;12744000;4850000;0;Univ Pub;08-Agricultura
225;TU-13-PFI-2023;13;TU;NOA;TUCUMAN;Innovaciones tecnológicas para fomentar la producción sostenible y calidad de la batata tucumana destinada para consumo en fresco y/o agroindustria;Facultad de Agronomía Zootecnia y Veterinaria (FAZyV) de UNT;Universidad Nacional de Tucumàn ;PUBLICO;15000000;9328200;24328200;0.616568426764002;9328200;7500000;350000;Univ Pub;08-Agricultura
226;TU-14-PFI-2023;14;TU;NOA;TUCUMAN;Experiencia demostrativa de sistema de producción de pollos pastoriles como Producción Avícola Alternativa para la región. Determinación de prevalencia de las principales patologías bacterianas y parasitarias a travEs de tEcnicas de laboratorio.;Facultad de Agronomía Zootecnia y Veterinaria de UNT;Universidad Nacional de Tucumàn ;PUBLICO;10583320;4104000;14687320;0.720575298965366;3720000;5011320;0;Univ Pub;08-Agricultura
227;TU-15-PFI-2023;15;TU;NOA;TUCUMAN;Complejo de interpretación Científica y Recreativa en la Yungas: transferencia de conocimientos, Turismo sustentable y la conservación del patrimonio cultural y natural de las Sierras de San Javier;Universidad de San Pablo T;FUNDACION PARA EL DESARROLLO;PUBLICO;10000000;4990000;14990000;0.66711140760507;3090000;2100000;0;Org Pub;02-Medio Ambiente
