Nro;ID_PFI2023;ORDEN DE PRIORIZACIÓN DE LA JURISDICCIÓN;ID_JURISDICCION;REGION;JURISDICCION;TITULO;INSTITUCION EJECUTORA;INSTITUCION BENEFICIARIA;CARACTER DE LA INSTITUCION BENEFICIARIA;MONTO MINCYT SOLICITADO;MONTO CONTRAPARTE ;MONTO TOTAL PROYECTO;RELACION MINCYT;MONTO RUBRO RECURSOS HUMANOS;MONTO BIENES DE CAPITAL;MONTO FORMULACION PY UVT;PERFIL INSTITUCIONAL del BENEFICIARIO;OSE PRINCIPAL
125;MZ-6-PFI-2023;6;MZ;CUYO;MENDOZA;Desarrollo y validación clínica piloto del prototipo de un test para el diagnóstico temprano de hepatocarcinoma por medio de la detección de biomarcadores epigenEticos en biopsia líquida.;Instituto de histología y embriología Mensoza IHEM;INSTITUTO DE HISTOLOGIA Y EMBRIOLOGIA IHEM;PUBLICO;15165000;7950000;23115000;0.656067488643738;7200000;2530000;300000;CONICET;07-Salud
126;MZ-7-PFI-2023;7;MZ;CUYO;MENDOZA;Desarrollo de capacidades en transformación digital para asistencia a la industria de Mendoza;INTI Mendoza;INSTITUTO NACIONAL DE TECNOLOGIA INDUSTRIAL CENTROS DE INVESTIGACION;PUBLICO;20380000;5472000;25852000;0.788333591211512;5472000;10080000;0;INTI;02-Medio Ambiente
127;MZ-8-PFI-2023;8;MZ;CUYO;MENDOZA;Fortalecimiento del Museo Interactivo Audiovisual (MIA): ciencia, innovación tecnológica y valoración sociocultural y territorial de una zona urbano marginal del Area metropolitana de Mendoza;Instituto de ciencias humanas, sociales y ambientales CONICET CCT Mendoza;ASOCIACION CIVIL FILM ANDES;PRIVADO;13160000;5854000;19014000;0.692121594614495;2694000;6515000;0;ESFL;10-Cultura, recreación, religión y medios de comunicación
128;MZ-9-PFI-2023;9;MZ;CUYO;MENDOZA;Agricultura de precisión mediante la aplicación de imAgenes multiespectrales y termicas con drones. Herramientas para la identificación de carga frutal en la provincia de mendoza.;Instituto desarrollo rural;Instituto desarrollo rural;PRIVADO;9377640;4021560;13399200;0.699865663621709;0;6979800;0;ESFL;08-Agricultura
129;MZ-10-PFI-2023;10;MZ;CUYO;MENDOZA;Aplicación de tecnología 4.0 en municipios y en la administración tributaria de mendoza para la integración del proceso de transferencia de propiedades inmuebles;Universidad del aconcagua;UNIVERSIDAD DEL ACONCAGUA;PRIVADO;25000000;11120000;36120000;0.692137320044297;9120000;1500000;0;Univ Priv;11-Estructuras, procesos y sistemas políticos y sociales
130;MZ-11-PFI-2023;11;MZ;CUYO;MENDOZA;Disposición final de tubos de vapor de sodio y lAmparas de mercurio y mercurio halogenado desechadas y en desuso;Fundación universidad nacional de cuyo;JUNIN PUNTO LIMPIO S. A. U.;PRIVADO;11720000;2630000;14350000;0.816724738675958;1130000;7600000;0;Emp Priv;02-Medio Ambiente
131;MI -1-PFI-2023;1;MI ;NEA;MISIONES;Estandarización de mEtodos de monitoreo de servicios ecosistEmicos de suelo misionero ;INSTITUTO MISIONERO DE BIODIVERSIDAD (IMIBIO);INSTITUTO MISIONERO DE BIODIVERSIDAD (IMIBIO);PUBLICO;16000000;6600000;22600000;0.707964601769911;5640000;8000000;0;Org Pub;02-Medio Ambiente
132;MI -2-PFI-2023;2;MI ;NEA;MISIONES;Manejo de la arañuela roja (Tetranychus urticae), plaga del cultivo de Cannabis, mediante la aplicación de cepas nativas de Beauveria bassiana ;BiofAbrica Misiones SA;BiofAbrica Misiones SA;PRIVADO;14500000;6214286;20714286;0.699999990344828;0;5135700;0;Emp Priv;08-Agricultura
133;MI -3-PFI-2023;3;MI ;NEA;MISIONES;Adaptación de las Tecnologías de Fabricación Digital a la producción de objetos derivados de los Polímeros Urbanos Recuperados ;Universidad Nacional de Misiones;Universidad Nacional de Misiones;PUBLICO;35000000;18357662;53357662;0.655950779852386;18357662;12700000;0;Univ Pub;06-Producción y tecnología industrial
134;MI -4-PFI-2023;4;MI ;NEA;MISIONES;Desarrollo de cApsulas de tE o yerba mate enriquecido en antioxidante para consumo directo ;INTI;Instituto Nacional de Tecnología Industrial- INTI-;PUBLICO;26000000;6552000;32552000;0.798722044728435;6552000;13000000;0;INTI;06-Producción y tecnología industrial
135;MI -5-PFI-2023;5;MI ;NEA;MISIONES;Bioinsumos de nueva generación: microencapsulación de enzimas micolíticas fúngicas para el biocontrol de hormigas cortadoras de hojas ;Universida Nacional de Misiones;Universidad Nacional de Misiones-                 Laboratorio de Biotecnología Molecular. Instituto de Biotecnología de Misiones. Facultad de Ciencias Exactas , químicas y naturales. ;PUBLICO;15000000;6347500;21347500;0.702658390912285;6347500;5280000;0;Univ Pub;08-Agricultura
136;MI -6-PFI-2023;6;MI ;NEA;MISIONES;Prototipo de un kit de diagnóstico molecular de los genotipos de Trypanosoma cruzi, agente causal de la enfermedad de Chagas ;Fundación Universitaria Católica de la Misiones;Fundación Universitaria Católica de la Misiones;PRIVADO;16000000;6857144;22857144;0.699999965000002;0;5000000;0;ESFL;07-Salud
137;MI -7-PFI-2023;7;MI ;NEA;MISIONES;Detección e identificación de virus que afectan a cultivos de importancia regional en Misiones y desarrollo de herramientas moleculares para su diagnóstico ;Instituto Nacional de Tecnología Agropecuaria (INTA) Centro Regional Misiones;Instituto Nacional de Tecnología Agropecuaria (INTA Centro Regional Misiones);PUBLICO;14100000;18240000;32340000;0.435992578849722;18240000;6500000;0;INTA;08-Agricultura
138;MI -8-PFI-2023;8;MI ;NEA;MISIONES;Epidemiología molecular y desarrollo de algoritmos aplicables para el control de Enterobacterales productores de carbapenemasas en la provincia de Misiones ;Universidad Nacional de Misiones (UNAM);Universidad Nacional de Misiones-Facultad de Ciencias Exactas, químicas y Naturales;PUBLICO;12000000;21604178;33604178;0.357098453650614;21604178;6000000;0;Univ Pub;07-Salud
139;MI -9-PFI-2023;9;MI ;NEA;MISIONES;Patrones de expresión de microARNs como biomarcadores predictores de cAncer en pacientes con Diabetes Mellitus tipo 2 ;Universidad Nacional de Misiones (UNAM);Universidad Nacional de Misiones (UNAM);PUBLICO;11000000;8340000;19340000;0.568769389865564;8340000;900000;0;Univ Pub;07-Salud
140;MI -10-PFI-2023;10;MI ;NEA;MISIONES;Especies frutales del monte misionero: Información genómica para la puesta en valor y el uso sustentable de los recursos nativos ;Universidad Nacional de Misiones (UNAM);Universidad Nacional de Misiones (UNAM);PUBLICO;10000000;5697732;15697732;0.637034700299381;5697732;0;0;Univ Pub;08-Agricultura
141;MI -11-PFI-2023;11;MI ;NEA;MISIONES;Desarrollo de bases de datos de biodiversidad: Llenando vacíos de información de anfibios, peces y micromamíferos de la provincia de Misiones ;Instituto de Biología Subtropical, centro cientifico tecnologico conicet Nordeste.;Instituto de Biología Subtropical,(CCT CONICET Nordeste);PUBLICO;10400000;18487286;28887286;0.360019975569875;18487286;0;0;CONICET;02-Medio Ambiente
142;MI -12-PFI-2023;12;MI ;NEA;MISIONES;Sistema de generación con energía solar fotovoltaica para el bombeo de nutrientes en cultivos de hortalizas para hidroponía ;Universidad Nacional de Misiones (UNAM);Universidad Nacional de Misiones-Facultad de Ingenieria ;PUBLICO;10000000;3958250;13958250;0.71642218759515;3958250;0;0;Univ Pub;05-Energía
143;MI -13-PFI-2023;13;MI ;NEA;MISIONES;"Bioprospección de enzimas de interEs industrial y biotecnológico a partir de la plataforma de
metagenomas de suelo del bosque nativo de Misiones";Universidad Nacional de Tecnología Industrial;Universidad Nacional de Misiones;PUBLICO;10000000;15005040;25005040;0.399919376253747;2505600;0;0;Univ Pub;02-Medio Ambiente
144;NQN-1-PFI-2023;1;NQ;PATAGONIA;NEUQUEN;Hablando se entiende la gente ;Hospital Provincial Neuquen;Ministerio de Salud de la Provincia de Neuquen;PUBLICO;10000000;14014000;24014000;0.41642375281086;13364000;1700000;0;Org Pub;07-Salud
145;NQN-2-PFI-2023;2;NQ;PATAGONIA;NEUQUEN;Red colaborativa de agroalimentos del Neuquen;Instituto Patagonico de Estudios de Humanidades y Ciencias Sociales (IPEHCS- CONICET- UNCO);Ministerio de Produccion e Industria- programa PRODA;PUBLICO;28727799;7240000;35967799;0.798708839537276;5040000;18727799;0;Org Pub;08-Agricultura
146;NQN-3-PFI-2023;3;NQ;PATAGONIA;NEUQUEN;Proteina unicelular de levaduras para alimentacion de porcinos;Universidad Nacional del Comahue;Universidad Nacional del Comahue;PUBLICO;14150000;4320000;18470000;0.76610720086627;4320000;6700000;0;Univ Pub;08-Agricultura
147;NQN-4-PFI-2023;4;NQ;PATAGONIA;NEUQUEN;Sistema inteligente de gestion turistica neuquen;Centro Pyme Adeneu;Ministerio de Turismo;PUBLICO;31006800;19590000;50596800;0.612821364196945;15840000;13340000;0;Org Pub;12-Producción general de conocimiento
148;NQN-5-PFI-2023;5;NQ;PATAGONIA;NEUQUEN;Red de agroturismo inteligente en la provincia del neuquen;IPEHCS-CONICET-Unco; INSTITUTO PATAGONICO DE ESTUDIOS DE HUMANIDADES Y CIENCIAS SOCIALES (IPEHCS-CONICET-UNCO);PUBLICO;27233983;6800000;34033983;0.800199700399451;6000000;11433983;500000;CONICET;08-Agricultura
149;NQN-6-PFI-2023;6;NQ;PATAGONIA;NEUQUEN;Aplicación de una tecnica innovadora de probetas miniatura para la calificacion mecanica de materiales aplicados en la industria energetica de la cuenca neuquina;COMISIÓN NACIONAL DE ENERGÍA ATÓMICA;COMISIÓN NACIONAL DE ENERGÍA ATÓMICA;PUBLICO;20000000;5000001;25000001;0.799999968000001;4000001;12100000;0;CNEA;05-Energía
150;NQN-7-PFI-2023;7;NQ;PATAGONIA;NEUQUEN;Fortalecimiento de la Cadena de Valor Apicola Neuquina;Centro Pyme Adeneu;Centro PYME Adeneu;PUBLICO;21292000;8600000;29892000;0.71229760471029;8600000;10640000;0;Otros Org CyT ;08-Agricultura
151;NQN-8-PFI-2023;8;NQ;PATAGONIA;NEUQUEN;Integracion de energia renovable a la convencional, en huertas agroecologicas escolares en zonas urbanas con comunidades vulnerables;Centro de formacion Profesional n 35- Fundacion Julio palacios- INTA PATAGONIA NORTE;Centro de formacion profesional n35.;PUBLICO;11765000;4992000;16757000;0.702094647013188;4992000;9295000;200000;Org Pub;09-Educación
152;NQN-9-PFI-2023;9;NQ;PATAGONIA;NEUQUEN;Eficiencia Energetica y aprovechamiento sostenible del recurso hidrico de Picun Leufu para el servicio de abastecimiento de agua potable;Municipalidad de Picun Lefu;Municipalidad de Picun Lefu;PUBLICO;20824418;9227672;30052090;0.692944084754172;9227672;10428618;0;Municipio;05-Energía
153;NQN-10-PFI-2023;10;NQ;PATAGONIA;NEUQUEN;Fortalecimiento del laboratorio de fabricacion digital de la municipalidad de Villa la Angostura;Fab Lab Villa la angostura ;Municipalidad de Villa la Angostura;PUBLICO;15000000;5320000;20320000;0.738188976377953;2640000;7000000;0;Municipio;12-Producción general de conocimiento
154;RN-1-PFI-2023;1;RN;PATAGONIA;RIO NEGRO;Desarrollos tecnológicos para procesos de producción de radioisótopos de uso mEdico;COMISIÓN NACIONAL DE ENERGÍA ATÓMICA;COMISIÓN NACIONAL DE ENERGÍA ATÓMICA;PUBLICO;34000000;12618000;46618000;0.729332017675576;10918000;16980000;0;CNEA;02-Medio Ambiente
155;RN-2-PFI-2023;2;RN;PATAGONIA;RIO NEGRO;Desarrollo de una plataforma automatizada para el control de calidad de levaduras aplicadas a la industria;IPATEC (CONICET - COMAHUE);Consejo Nacional de Investigaciones Científicas y TEcnicas (CONICET);PUBLICO;23000000;5750000;28750000;0.8;5750000;10322000;460000;CONICET;06-Producción y tecnología industrial
156;RN-3-PFI-2023;3;RN;PATAGONIA;RIO NEGRO;Realidad virtual e inteligencia artificial para enseñanza y aprendizaje de habilidades profesionales para el equipo de salud ;Universidad Nacional  de Rio Negro;Universidad Nacional de Rio Negro;PUBLICO;16000000;4000000;20000000;0.8;4000000;7250000;0;Univ Pub;07-Salud
157;RN-4-PFI-2023;4;RN;PATAGONIA;RIO NEGRO;Valorización de la producción de escencias para el biocontrol de plagas;Universidad Nacional  del Comahue (UNCo);Universidad Nacional  del Comahue (UNCo), Universidad Nacional del Sur e INTA Alto Valle;PUBLICO;15000000;11644000;26644000;0.562978531751989;9744000;7500000;300000;Univ Pub;08-Agricultura
158;RN-5-PFI-2023;5;RN;PATAGONIA;RIO NEGRO;Restauracion de precision en bosques andino patagonicos impactados por incendios: desarrollo de tecnicas y tecnologias aoripiables;INBIOMA-CONICET;Consejo Nacional de Investigaciones Científicas y TEcnicas (CONICET);PUBLICO;19000000;7125780;26125780;0.727251014132401;7125780;5650000;0;CONICET;08-Agricultura
159;RN-6-PFI-2023;6;RN;PATAGONIA;RIO NEGRO;Guia para el manejo eficiente del agua para productores ganaderos norpatagonicos frente a la persistente crisis hidrica.;INTA ;INTA ( agencia extension rural);PUBLICO;23000000;6464000;29464000;0.780613630192778;3862000;11474000;0;INTA;01-Exploración y explotación de la tierra
160;RN-7-PFI-2023;7;RN;PATAGONIA;RIO NEGRO;Obtención de levaduras nativas rionegrinas hiperproductoras de astaxantina para su aplicación biotecnológica en la industria acuícola, cosmEtica y nutracEutica;;Consejo Nacional de Investigaciones Científicas y TEcnicas (CONICET);PUBLICO;20000000;5700000;25700000;0.778210116731518;5700000;10000000;400000;CONICET;06-Producción y tecnología industrial
